title,ratings,numofRatings,First Recommendation is: ,Second Recommendation is: ,Third Recommendation is: ,Fourth Recommendation is: 
Judge Dredd (1995),2.8974358974358974,39,Michael (1996),Bonnie and Clyde (1967),Event Horizon (1997),As Good As It Gets (1997)
Judgment Night (1993),2.68,25,Emma (1996),Seven Years in Tibet (1997),"Killing Fields, The (1984)",Being There (1979)
Jumanji (1995),3.3125,96,Star Trek: Generations (1994),Ulee's Gold (1997),Crash (1996),Star Trek IV: The Voyage Home (1986)
"Jungle Book, The (1994)",3.5647058823529414,85,"Rainmaker, The (1997)",Kiss the Girls (1997),Welcome to the Dollhouse (1995),Boogie Nights (1997)
Jungle2Jungle (1997),2.4393939393939394,132,"Edge, The (1997)",GoldenEye (1995),Volcano (1997),Down Periscope (1996)
Junior (1994),3.022222222222222,45,G.I. Jane (1997),One Fine Day (1996),Down Periscope (1996),Phenomenon (1996)
Jupiter's Wife (1994),4.0,1,,,,
Jurassic Park (1993),3.7203065134099615,261,Alien: Resurrection (1997),"Craft, The (1996)","Ghost and the Darkness, The (1996)","River Wild, The (1994)"
"Juror, The (1996)",2.817073170731707,82,Kolya (1996),Searching for Bobby Fischer (1993),"Ghost and the Darkness, The (1996)",Highlander (1986)
Jury Duty (1995),2.0,14,Spawn (1997),Michael (1996),Secrets & Lies (1996),Shine (1996)
Just Cause (1995),3.142857142857143,28,Rosewood (1997),"Boot, Das (1981)",Scream 2 (1997),Beautiful Girls (1996)
Kalifornia (1993),3.2203389830508473,59,Emma (1996),Fly Away Home (1996),Arsenic and Old Lace (1944),Kolya (1996)
Kama Sutra: A Tale of Love (1996),3.3181818181818183,22,"Philadelphia Story, The (1940)","Crying Game, The (1992)",Alien: Resurrection (1997),Father of the Bride Part II (1995)
Kansas City (1996),2.260869565217391,23,Waterworld (1995),Crash (1996),Jackie Brown (1997),"Frighteners, The (1996)"
Kaspar Hauser (1993),4.25,8,Boogie Nights (1997),Cold Comfort Farm (1995),Secrets & Lies (1996),Chinatown (1974)
Kazaam (1996),1.8,10,Raising Arizona (1987),Cold Comfort Farm (1995),Crash (1996),"Craft, The (1996)"
Keys to Tulsa (1997),2.24,25,"Room with a View, A (1986)",Down Periscope (1996),Conan the Barbarian (1981),Welcome to the Dollhouse (1995)
Kicked in the Head (1997),2.5714285714285716,7,Big Night (1996),Apollo 13 (1995),Welcome to the Dollhouse (1995),Dragonheart (1996)
Kicking and Screaming (1995),2.923076923076923,13,Kiss the Girls (1997),Eraser (1996),Donnie Brasco (1997),Michael (1996)
"Kid in King Arthur's Court, A (1995)",2.727272727272727,22,Leaving Las Vegas (1995),"Peacemaker, The (1997)",Ulee's Gold (1997),Mystery Science Theater 3000: The Movie (1996)
Kids (1995),3.061224489795918,49,Event Horizon (1997),"Sex, Lies, and Videotape (1989)",Lost Highway (1997),"Devil's Advocate, The (1997)"
Kids in the Hall: Brain Candy (1996),3.076923076923077,65,Rosewood (1997),In the Name of the Father (1993),Secrets & Lies (1996),Ulee's Gold (1997)
Kika (1993),2.0,2,,,,
Killer (Bulletproof Heart) (1994),2.5,4,Aladdin (1992),Chinatown (1974),Benny & Joon (1993),Clear and Present Danger (1994)
Killer: A Journal of Murder (1995),4.0,1,,,,
"Killing Fields, The (1984)",4.132231404958677,121,Ulee's Gold (1997),"Magnificent Seven, The (1954)","Edge, The (1997)",Mimic (1997)
Killing Zoe (1994),3.475,40,Ben-Hur (1959),Benny & Joon (1993),Emma (1996),"Philadelphia Story, The (1940)"
Kim (1950),3.2857142857142856,7,"English Patient, The (1996)","Crow, The (1994)",Cold Comfort Farm (1995),Bonnie and Clyde (1967)
King of New York (1990),1.0,1,,,,
King of the Hill (1993),3.5,4,Contact (1997),"Blues Brothers, The (1980)",Return of the Jedi (1983),Sabrina (1995)
Kingpin (1996),3.1296296296296298,162,Kolya (1996),"Professional, The (1994)","Devil's Advocate, The (1997)",Mr. Smith Goes to Washington (1939)
"Kiss Me, Guido (1997)",3.161290322580645,31,Outbreak (1995),True Romance (1993),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Lost World: Jurassic Park, The (1997)"
Kiss of Death (1995),2.85,20,My Best Friend's Wedding (1997),Mr. Smith Goes to Washington (1939),"Boot, Das (1981)","Magnificent Seven, The (1954)"
Kiss the Girls (1997),3.4615384615384617,143,"River Wild, The (1994)",Cold Comfort Farm (1995),True Lies (1994),"Craft, The (1996)"
Kissed (1996),3.0,6,Father of the Bride Part II (1995),Crash (1996),Bound (1996),"Cable Guy, The (1996)"
Kolya (1996),3.9914529914529915,117,Happy Gilmore (1996),Kingpin (1996),Alien: Resurrection (1997),What's Eating Gilbert Grape (1993)
Koyaanisqatsi (1983),3.490566037735849,53,Dante's Peak (1997),Tombstone (1993),Swingers (1996),Alien: Resurrection (1997)
Kull the Conqueror (1997),2.63768115942029,69,My Fair Lady (1964),"Magnificent Seven, The (1954)",Executive Decision (1996),Conan the Barbarian (1981)
Kundun (1997),3.6904761904761907,42,Batman Returns (1992),Pinocchio (1940),Top Gun (1986),Tombstone (1993)
L.A. Confidential (1997),4.161616161616162,297,Pinocchio (1940),Miracle on 34th Street (1994),Dumbo (1941),"Nightmare Before Christmas, The (1993)"
Lady of Burlesque (1943),4.0,1,,,,
Ladybird Ladybird (1994),2.75,4,"African Queen, The (1951)",Benny & Joon (1993),Fantasia (1940),Clueless (1995)
Lamerica (1994),3.75,4,Big Night (1996),Babe (1995),Amistad (1997),Fried Green Tomatoes (1991)
Land Before Time III: The Time of the Great Giving (1995) (V),1.6666666666666667,6,"Clockwork Orange, A (1971)","Killing Fields, The (1984)",Harold and Maude (1971),True Romance (1993)
Land and Freedom (Tierra y libertad) (1995),3.0,1,,,,
Larger Than Life (1996),2.3333333333333335,9,"Craft, The (1996)",Spawn (1997),Rosewood (1997),Jungle2Jungle (1997)
Lashou shentan (1992),1.0,1,,,,
Lassie (1994),2.2857142857142856,7,Crimson Tide (1995),Con Air (1997),Clerks (1994),"Lost World: Jurassic Park, The (1997)"
Last Action Hero (1993),2.7457627118644066,59,Seven Years in Tibet (1997),Cop Land (1997),Apt Pupil (1998),As Good As It Gets (1997)
Last Dance (1996),3.111111111111111,9,Event Horizon (1997),"Full Monty, The (1997)",Fly Away Home (1996),Gandhi (1982)
"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)",3.0,4,Kolya (1996),Heat (1995),Sense and Sensibility (1995),Secrets & Lies (1996)
Last Man Standing (1996),2.660377358490566,53,"Ghost and the Darkness, The (1996)",Kolya (1996),Being There (1979),"Usual Suspects, The (1995)"
Last Summer in the Hamptons (1995),2.3333333333333335,3,"Truth About Cats & Dogs, The (1996)",Stand by Me (1986),My Left Foot (1989),Dead Poets Society (1989)
"Last Supper, The (1995)",3.4482758620689653,58,"Nightmare Before Christmas, The (1993)","Ice Storm, The (1997)",Gandhi (1982),Interview with the Vampire (1994)
"Last Time I Committed Suicide, The (1997)",2.2857142857142856,7,Army of Darkness (1993),Sabrina (1995),Strictly Ballroom (1992),"Shining, The (1980)"
"Last Time I Saw Paris, The (1954)",3.6666666666666665,3,My Fair Lady (1964),True Lies (1994),Four Weddings and a Funeral (1994),"Hunt for Red October, The (1990)"
"Last of the Mohicans, The (1992)",3.546875,128,Ulee's Gold (1997),Good Will Hunting (1997),My Best Friend's Wedding (1997),William Shakespeare's Romeo and Juliet (1996)
Late Bloomers (1996),3.4,5,Courage Under Fire (1996),Secrets & Lies (1996),Rosewood (1997),Swingers (1996)
Laura (1944),4.1,40,Down Periscope (1996),Rosewood (1997),"Wrong Trousers, The (1993)",Grumpier Old Men (1995)
Lawnmower Man 2: Beyond Cyberspace (1996),1.7142857142857142,21,Donnie Brasco (1997),Jackie Brown (1997),"Remains of the Day, The (1993)","Philadelphia Story, The (1940)"
"Lawnmower Man, The (1992)",2.4461538461538463,65,Basic Instinct (1992),Wag the Dog (1997),Michael (1996),Conspiracy Theory (1997)
Lawrence of Arabia (1962),4.23121387283237,173,Beautiful Girls (1996),Good Will Hunting (1997),Being There (1979),My Left Foot (1989)
"Lay of the Land, The (1997)",2.5,4,"Devil's Own, The (1997)","English Patient, The (1996)",Kolya (1996),Jackie Chan's First Strike (1996)
"Leading Man, The (1996)",3.75,4,"Devil's Advocate, The (1997)",Contact (1997),"English Patient, The (1996)","Edge, The (1997)"
Leave It to Beaver (1997),1.8409090909090908,44,Fried Green Tomatoes (1991),Grumpier Old Men (1995),Mary Poppins (1964),Miracle on 34th Street (1994)
Leaving Las Vegas (1995),3.697986577181208,298,Wag the Dog (1997),"Ice Storm, The (1997)","Deer Hunter, The (1978)",Raging Bull (1980)
Legal Deceit (1997),3.4,5,G.I. Jane (1997),"Devil's Own, The (1997)",Contact (1997),Liar Liar (1997)
Legends of the Fall (1994),3.45679012345679,81,"Ghost and the Darkness, The (1996)",Bound (1996),Amistad (1997),Ulee's Gold (1997)
"Leopard Son, The (1996)",1.0,1,,,,
"Letter From Death Row, A (1998)",4.333333333333333,3,Lost Highway (1997),Starship Troopers (1997),"Boot, Das (1981)",In & Out (1997)
Liar Liar (1997),3.156701030927835,485,Batman Forever (1995),"Mask, The (1994)",Down Periscope (1996),Con Air (1997)
Liebelei (1933),1.0,1,,,,
"Life Less Ordinary, A (1997)",3.0754716981132075,53,Pinocchio (1940),Star Trek: The Motion Picture (1979),Pink Floyd - The Wall (1982),"Magnificent Seven, The (1954)"
Life with Mikey (1993),2.2857142857142856,7,Eraser (1996),"River Wild, The (1994)",Multiplicity (1996),Lone Star (1996)
Lightning Jack (1994),3.0,10,Some Like It Hot (1959),Cool Hand Luke (1967),"River Wild, The (1994)",Evita (1996)
Like Water For Chocolate (Como agua para chocolate) (1992),3.804054054054054,148,Waterworld (1995),Rosewood (1997),"Manchurian Candidate, The (1962)",Lone Star (1996)
"Line King: Al Hirschfeld, The (1996)",3.0,2,Jaws (1975),Cold Comfort Farm (1995),"Empire Strikes Back, The (1980)",Four Weddings and a Funeral (1994)
"Lion King, The (1994)",3.7818181818181817,220,"Ice Storm, The (1997)","Manchurian Candidate, The (1962)","Craft, The (1996)",Beauty and the Beast (1991)
Little Big League (1994),2.875,16,Ulee's Gold (1997),Swingers (1996),"Ghost and the Darkness, The (1996)",Mighty Aphrodite (1995)
Little Buddha (1993),3.3181818181818183,22,G.I. Jane (1997),Lost Highway (1997),Patton (1970),Volcano (1997)
Little City (1998),3.5,2,,,,
Little Lord Fauntleroy (1936),3.1666666666666665,12,Good Will Hunting (1997),Primal Fear (1996),Kingpin (1996),Carrie (1976)
Little Odessa (1994),2.6,10,"Crow, The (1994)",Multiplicity (1996),"Ghost and the Darkness, The (1996)",Mimic (1997)
"Little Princess, A (1995)",3.658536585365854,41,Jackie Brown (1997),Absolute Power (1997),Young Guns (1988),"Game, The (1997)"
"Little Princess, The (1939)",3.5555555555555554,9,GoldenEye (1995),"Time to Kill, A (1996)",Seven Years in Tibet (1997),"Professional, The (1994)"
"Little Rascals, The (1994)",2.7222222222222223,18,Austin Powers: International Man of Mystery (1997),Spawn (1997),Amistad (1997),Face/Off (1997)
Little Women (1994),3.676470588235294,102,Fly Away Home (1996),M*A*S*H (1970),My Best Friend's Wedding (1997),Amistad (1997)
Live Nude Girls (1995),3.0869565217391304,23,"Edge, The (1997)","Ice Storm, The (1997)",Miracle on 34th Street (1994),Spawn (1997)
Living in Oblivion (1995),3.740740740740741,27,"Magnificent Seven, The (1954)",Kolya (1996),"Sex, Lies, and Videotape (1989)","Killing Fields, The (1984)"
Loaded (1994),2.4,5,Dragonheart (1996),"Devil's Advocate, The (1997)",Cold Comfort Farm (1995),Tin Cup (1996)
Local Hero (1983),3.9682539682539684,63,Spawn (1997),Rosewood (1997),"Lost World: Jurassic Park, The (1997)",Executive Decision (1996)
Loch Ness (1995),2.5,4,Arsenic and Old Lace (1944),Batman (1989),Amadeus (1984),Aliens (1986)
"Locusts, The (1997)",2.0,5,Apollo 13 (1995),Kolya (1996),"Devil's Own, The (1997)",Courage Under Fire (1996)
Lone Star (1996),4.053475935828877,187,Cold Comfort Farm (1995),"Good, The Bad and The Ugly, The (1966)",My Left Foot (1989),Rosewood (1997)
"Long Kiss Goodnight, The (1996)",3.4702702702702704,185,Some Like It Hot (1959),"Deer Hunter, The (1978)",Crimson Tide (1995),Con Air (1997)
Looking for Richard (1996),3.727272727272727,55,Fly Away Home (1996),"Close Shave, A (1995)",On Golden Pond (1981),"Abyss, The (1989)"
Lord of Illusions (1995),2.4166666666666665,24,Emma (1996),"Close Shave, A (1995)",Kiss the Girls (1997),Four Weddings and a Funeral (1994)
Losing Chase (1996),3.25,8,Conspiracy Theory (1997),Beavis and Butt-head Do America (1996),"Ghost and the Darkness, The (1996)","Hudsucker Proxy, The (1994)"
Losing Isaiah (1995),3.0,12,"Game, The (1997)",Big Night (1996),Alien: Resurrection (1997),Basic Instinct (1992)
Lost Highway (1997),3.136,125,"Philadelphia Story, The (1940)",Down Periscope (1996),Michael (1996),Big Night (1996)
Lost Horizon (1937),3.9411764705882355,34,Happy Gilmore (1996),Crash (1996),Welcome to the Dollhouse (1995),Austin Powers: International Man of Mystery (1997)
"Lost World: Jurassic Park, The (1997)",2.9430379746835444,158,Pretty Woman (1990),"Magnificent Seven, The (1954)",Star Trek III: The Search for Spock (1984),"Ghost and the Darkness, The (1996)"
Lost in Space (1998),3.1666666666666665,18,Chinatown (1974),Mr. Holland's Opus (1995),Taxi Driver (1976),"Maltese Falcon, The (1941)"
Lotto Land (1995),1.0,1,,,,
Love & Human Remains (1993),3.1666666666666665,12,Bram Stoker's Dracula (1992),Jackie Brown (1997),Tombstone (1993),Spawn (1997)
Love Affair (1994),2.8333333333333335,12,Ransom (1996),Hoop Dreams (1994),Good Will Hunting (1997),Event Horizon (1997)
"Love Bug, The (1969)",2.78,50,Welcome to the Dollhouse (1995),Primal Fear (1996),My Best Friend's Wedding (1997),James and the Giant Peach (1996)
Love Is All There Is (1996),3.0,1,,,,
Love Jones (1997),3.0952380952380953,42,Batman Forever (1995),Maverick (1994),Mr. Smith Goes to Washington (1939),"Good, The Bad and The Ugly, The (1966)"
Love Serenade (1996),3.0,4,Braveheart (1995),Austin Powers: International Man of Mystery (1997),George of the Jungle (1997),Mrs. Doubtfire (1993)
Love and Death on Long Island (1997),2.5,2,"Clockwork Orange, A (1971)",Air Force One (1997),Amadeus (1984),"Birdcage, The (1996)"
Love and Other Catastrophes (1996),2.857142857142857,7,Rumble in the Bronx (1995),Big Night (1996),Dragonheart (1996),James and the Giant Peach (1996)
Love and a .45 (1994),3.125,8,True Romance (1993),Sleepless in Seattle (1993),Carrie (1976),Cop Land (1997)
Love in the Afternoon (1957),3.9,10,Glory (1989),Real Genius (1985),My Best Friend's Wedding (1997),William Shakespeare's Romeo and Juliet (1996)
Love! Valour! Compassion! (1997),3.6153846153846154,26,Eraser (1996),Highlander (1986),"Edge, The (1997)",Waterworld (1995)
Lover's Knot (1996),2.0,3,Ulee's Gold (1997),Kolya (1996),2001: A Space Odyssey (1968),Basic Instinct (1992)
"Low Down Dirty Shame, A (1994)",2.5,10,William Shakespeare's Romeo and Juliet (1996),"Abyss, The (1989)",Courage Under Fire (1996),Jackie Chan's First Strike (1996)
"Low Life, The (1994)",1.0,1,,,,
M (1931),4.0,44,Grumpier Old Men (1995),Executive Decision (1996),What's Eating Gilbert Grape (1993),As Good As It Gets (1997)
M*A*S*H (1970),3.912621359223301,206,Little Women (1994),Ulee's Gold (1997),"Wrong Trousers, The (1993)",Chinatown (1974)
M. Butterfly (1993),3.2222222222222223,18,"Edge, The (1997)",Lone Star (1996),Annie Hall (1977),Gattaca (1997)
MURDER and murder (1996),2.0,1,,,,
Ma vie en rose (My Life in Pink) (1997),3.45,20,Multiplicity (1996),Grumpier Old Men (1995),Basic Instinct (1992),"Ghost and the Darkness, The (1996)"
"Machine, The (1994)",1.5,2,Willy Wonka and the Chocolate Factory (1971),Mystery Science Theater 3000: The Movie (1996),Jackie Chan's First Strike (1996),"Rock, The (1996)"
Mad City (1997),3.25531914893617,47,"Killing Fields, The (1984)",Sneakers (1992),"Nightmare Before Christmas, The (1993)","First Wives Club, The (1996)"
Mad Dog Time (1996),3.0,1,,,,
Mad Love (1995),2.1538461538461537,13,"Craft, The (1996)",Cold Comfort Farm (1995),101 Dalmatians (1996),Evita (1996)
Madame Butterfly (1995),3.5714285714285716,7,What's Eating Gilbert Grape (1993),Leaving Las Vegas (1995),Heat (1995),Sabrina (1995)
Made in America (1993),2.5185185185185186,27,Cop Land (1997),Secrets & Lies (1996),Dante's Peak (1997),Dragonheart (1996)
"Madness of King George, The (1994)",3.769230769230769,91,Bound (1996),Waterworld (1995),Ulee's Gold (1997),My Left Foot (1989)
Madonna: Truth or Dare (1991),2.4705882352941178,17,Mimic (1997),Jackie Brown (1997),"Ice Storm, The (1997)",Ulee's Gold (1997)
"Magic Hour, The (1998)",3.6,5,Annie Hall (1977),Butch Cassidy and the Sundance Kid (1969),"Bridge on the River Kwai, The (1957)",Bonnie and Clyde (1967)
"Magnificent Seven, The (1954)",3.9421487603305785,121,"Lost World: Jurassic Park, The (1997)","Wrong Trousers, The (1993)",What's Eating Gilbert Grape (1993),Clerks (1994)
Major Payne (1994),2.473684210526316,19,As Good As It Gets (1997),Apt Pupil (1998),"Maltese Falcon, The (1941)",Cool Hand Luke (1967)
Malice (1993),3.1739130434782608,46,G.I. Jane (1997),Spawn (1997),"Boot, Das (1981)","Wrong Trousers, The (1993)"
Mallrats (1995),3.4444444444444446,54,Cool Hand Luke (1967),Ulee's Gold (1997),"Wrong Trousers, The (1993)","Bridge on the River Kwai, The (1957)"
"Maltese Falcon, The (1941)",4.2101449275362315,138,Beautiful Girls (1996),Swingers (1996),Casablanca (1942),James and the Giant Peach (1996)
Mamma Roma (1962),4.0,1,,,,
"Man Who Knew Too Little, The (1997)",2.923076923076923,52,"Philadelphia Story, The (1940)","Good, The Bad and The Ugly, The (1966)","Mask, The (1994)","Maltese Falcon, The (1941)"
"Man Who Would Be King, The (1975)",4.025,80,My Left Foot (1989),Jackie Brown (1997),Austin Powers: International Man of Mystery (1997),"Frighteners, The (1996)"
"Man Without a Face, The (1993)",3.5441176470588234,68,Scream 2 (1997),Jungle2Jungle (1997),Murder at 1600 (1997),Crash (1996)
"Man from Down Under, The (1943)",1.0,1,,,,
"Man in the Iron Mask, The (1998)",3.4166666666666665,12,Real Genius (1985),Clueless (1995),"Room with a View, A (1986)",In the Line of Fire (1993)
"Man of No Importance, A (1994)",3.4285714285714284,7,"Deer Hunter, The (1978)","Frighteners, The (1996)",Gattaca (1997),Mars Attacks! (1996)
Man of the House (1995),2.111111111111111,9,"Right Stuff, The (1983)",Gattaca (1997),"Great Escape, The (1963)",Kiss the Girls (1997)
Man of the Year (1995),3.111111111111111,9,Back to the Future (1985),Butch Cassidy and the Sundance Kid (1969),"Lost World: Jurassic Park, The (1997)",L.A. Confidential (1997)
"Manchurian Candidate, The (1962)",4.259541984732825,131,"Cable Guy, The (1996)",Strictly Ballroom (1992),Crimson Tide (1995),Under Siege (1992)
Manhattan (1979),3.769230769230769,91,Benny & Joon (1993),Annie Hall (1977),Glory (1989),Wag the Dog (1997)
Manhattan Murder Mystery (1993),3.6296296296296298,27,"Craft, The (1996)","Ice Storm, The (1997)",Babe (1995),Amistad (1997)
Manny & Lo (1996),3.1538461538461537,13,Apocalypse Now (1979),Beavis and Butt-head Do America (1996),Batman (1989),Butch Cassidy and the Sundance Kid (1969)
Manon of the Spring (Manon des sources) (1986),4.120689655172414,58,Crash (1996),"Net, The (1995)",Dante's Peak (1997),Con Air (1997)
Margaret's Museum (1995),4.0,6,Boogie Nights (1997),Clueless (1995),Seven (Se7en) (1995),Natural Born Killers (1994)
"Mark of Zorro, The (1940)",3.6153846153846154,13,"Saint, The (1997)",Evita (1996),Conspiracy Theory (1997),"Ice Storm, The (1997)"
Marked for Death (1990),2.5,22,Mother (1996),Little Women (1994),"Killing Fields, The (1984)",Everyone Says I Love You (1996)
Marlene Dietrich: Shadow and Light (1996) ,5.0,1,,,,
Mars Attacks! (1996),2.847926267281106,217,Lost Highway (1997),Alien: Resurrection (1997),"Devil's Advocate, The (1997)",Mystery Science Theater 3000: The Movie (1996)
Marvin's Room (1996),3.58974358974359,78,Army of Darkness (1993),Natural Born Killers (1994),Cape Fear (1991),Mother (1996)
Mary Poppins (1964),3.7247191011235956,178,"Sound of Music, The (1965)",Austin Powers: International Man of Mystery (1997),My Fair Lady (1964),Kiss the Girls (1997)
Mary Reilly (1996),2.8205128205128207,39,"Nightmare Before Christmas, The (1993)",William Shakespeare's Romeo and Juliet (1996),Alien: Resurrection (1997),"Killing Fields, The (1984)"
Mary Shelley's Frankenstein (1994),3.0677966101694913,59,Seven Years in Tibet (1997),Michael (1996),Cop Land (1997),My Best Friend's Wedding (1997)
"Mask, The (1994)",3.193798449612403,129,As Good As It Gets (1997),"Hunchback of Notre Dame, The (1996)",Volcano (1997),Tomorrow Never Dies (1997)
Mat' i syn (1997),1.0,1,,,,
"MatchMaker, The (1997)",3.176470588235294,51,Welcome to the Dollhouse (1995),"Sex, Lies, and Videotape (1989)",Beavis and Butt-head Do America (1996),"Killing Fields, The (1984)"
Matilda (1996),3.210526315789474,95,Good Will Hunting (1997),Austin Powers: International Man of Mystery (1997),Star Trek: Generations (1994),Stand by Me (1986)
Maverick (1994),3.46875,128,Starship Troopers (1997),"Ice Storm, The (1997)","Peacemaker, The (1997)",Murder at 1600 (1997)
Maximum Risk (1996),2.8,20,Cop Land (1997),Ulee's Gold (1997),Mighty Aphrodite (1995),In the Name of the Father (1993)
Maya Lin: A Strong Clear Vision (1994),4.5,4,Aliens (1986),Blade Runner (1982),"Birdcage, The (1996)",Big Night (1996)
"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",3.5,8,"Edge, The (1997)",Emma (1996),Spawn (1997),Star Trek: The Wrath of Khan (1982)
McHale's Navy (1997),2.1884057971014492,69,101 Dalmatians (1996),"Sound of Music, The (1965)","Great Escape, The (1963)",One Fine Day (1996)
Mediterraneo (1991),3.676470588235294,34,Lost Highway (1997),Outbreak (1995),Bram Stoker's Dracula (1992),"Wrong Trousers, The (1993)"
Meet John Doe (1941),3.92,25,Reservoir Dogs (1992),"Professional, The (1994)",Crash (1996),Jungle2Jungle (1997)
Meet Me in St. Louis (1944),3.3548387096774195,31,"Peacemaker, The (1997)","Frighteners, The (1996)",Grumpier Old Men (1995),Father of the Bride Part II (1995)
Meet Wally Sparks (1997),2.142857142857143,7,Big Night (1996),"Full Monty, The (1997)",Fried Green Tomatoes (1991),George of the Jungle (1997)
Men With Guns (1997),3.5,2,Boogie Nights (1997),Cold Comfort Farm (1995),Conspiracy Theory (1997),Cop Land (1997)
Men in Black (1997),3.745874587458746,303,Tomorrow Never Dies (1997),Michael (1996),As Good As It Gets (1997),Back to the Future (1985)
Men of Means (1998),2.0,2,Seven Years in Tibet (1997),G.I. Jane (1997),Contact (1997),Amistad (1997)
Menace II Society (1993),3.46,50,My Left Foot (1989),As Good As It Gets (1997),"Sex, Lies, and Videotape (1989)",Ulee's Gold (1997)
Mercury Rising (1998),3.4285714285714284,7,Dave (1993),Crimson Tide (1995),"Net, The (1995)",Mighty Aphrodite (1995)
Metisse (Café au Lait) (1993),2.3333333333333335,6,Aliens (1986),Die Hard: With a Vengeance (1995),Fly Away Home (1996),Dave (1993)
Metro (1997),2.9166666666666665,36,Everyone Says I Love You (1996),Kolya (1996),Scream 2 (1997),Strictly Ballroom (1992)
Miami Rhapsody (1995),2.6,15,Event Horizon (1997),Happy Gilmore (1996),Strictly Ballroom (1992),Ulee's Gold (1997)
Michael (1996),3.319327731092437,119,Home Alone (1990),"Great Escape, The (1963)",Lost Highway (1997),Ghost (1990)
Michael Collins (1996),3.4565217391304346,92,Con Air (1997),"Philadelphia Story, The (1940)",Absolute Power (1997),Beautiful Girls (1996)
Microcosmos: Le peuple de l'herbe (1996),3.75,24,Patton (1970),Conan the Barbarian (1981),Dumbo (1941),"Deer Hunter, The (1978)"
Midnight Dancers (Sibak) (1994),2.8,5,Chasing Amy (1997),Cold Comfort Farm (1995),"Long Kiss Goodnight, The (1996)","Full Monty, The (1997)"
Midnight in the Garden of Good and Evil (1997),3.1625,80,"Craft, The (1996)",My Fair Lady (1964),Grumpier Old Men (1995),Little Women (1994)
Mighty Aphrodite (1995),3.4184782608695654,184,Lost Highway (1997),"Deer Hunter, The (1978)","People vs. Larry Flynt, The (1996)",Wag the Dog (1997)
Mighty Morphin Power Rangers: The Movie (1995),2.272727272727273,11,Cold Comfort Farm (1995),Shine (1996),Primal Fear (1996),Outbreak (1995)
"Mighty, The (1998)",1.0,3,,,,
Milk Money (1994),2.72972972972973,37,Independence Day (ID4) (1996),Fried Green Tomatoes (1991),Michael (1996),Sleepless in Seattle (1993)
Mille bolle blu (1993),1.0,1,,,,
Miller's Crossing (1990),3.651685393258427,89,True Romance (1993),Donnie Brasco (1997),"Wrong Trousers, The (1993)",Mimic (1997)
Mimic (1997),2.742574257425743,101,Pinocchio (1940),"Bridge on the River Kwai, The (1957)",Under Siege (1992),Miracle on 34th Street (1994)
Mina Tannenbaum (1994),3.6666666666666665,6,"Frighteners, The (1996)",Down Periscope (1996),Donnie Brasco (1997),"Edge, The (1997)"
Miracle on 34th Street (1994),3.722772277227723,101,Alien: Resurrection (1997),Rosewood (1997),Mimic (1997),It's a Wonderful Life (1946)
Mirage (1995),3.0,1,,,,
"Mirror Has Two Faces, The (1996)",3.3636363636363638,66,Alien: Resurrection (1997),"Great Escape, The (1963)",Ghost (1990),Con Air (1997)
Mission: Impossible (1996),3.313953488372093,344,GoldenEye (1995),Cinderella (1950),Miracle on 34th Street (1994),Batman Forever (1995)
"Misérables, Les (1995)",3.619047619047619,21,G.I. Jane (1997),One Fine Day (1996),"Wrong Trousers, The (1993)",Army of Darkness (1993)
Mixed Nuts (1994),2.533333333333333,15,Dante's Peak (1997),G.I. Jane (1997),"First Wives Club, The (1996)",Good Will Hunting (1997)
"Modern Affair, A (1995)",1.0,1,,,,
Moll Flanders (1996),3.5,42,Alien: Resurrection (1997),Kiss the Girls (1997),In the Name of the Father (1993),12 Angry Men (1957)
Mondo (1996),3.0,3,Fly Away Home (1996),Rosewood (1997),Chasing Amy (1997),Conspiracy Theory (1997)
Money Talks (1997),2.8152173913043477,92,Mr. Smith Goes to Washington (1939),"Boot, Das (1981)",Batman (1989),Beauty and the Beast (1991)
Money Train (1995),2.511627906976744,43,My Left Foot (1989),Down Periscope (1996),Seven Years in Tibet (1997),Kolya (1996)
"Month by the Lake, A (1995)",3.3333333333333335,9,Star Trek VI: The Undiscovered Country (1991),Star Trek III: The Search for Spock (1984),"Crow, The (1994)","Manchurian Candidate, The (1962)"
Monty Python and the Holy Grail (1974),4.0664556962025316,316,Monty Python's Life of Brian (1979),Ulee's Gold (1997),"Magnificent Seven, The (1954)","Philadelphia Story, The (1940)"
Monty Python's Life of Brian (1979),3.7471264367816093,174,Crash (1996),"Hudsucker Proxy, The (1994)",Monty Python and the Holy Grail (1974),Welcome to the Dollhouse (1995)
Moonlight and Valentino (1995),2.5714285714285716,7,Army of Darkness (1993),Aliens (1986),Being There (1979),Bonnie and Clyde (1967)
Mortal Kombat (1995),2.877551020408163,49,Seven Years in Tibet (1997),Kiss the Girls (1997),"Edge, The (1997)","Peacemaker, The (1997)"
Mortal Kombat: Annihilation (1997),1.9534883720930232,43,Cape Fear (1991),"Philadelphia Story, The (1940)",Cop Land (1997),Welcome to the Dollhouse (1995)
"Mostro, Il (1994)",1.0,1,,,,
Mother (1996),3.1301775147928996,169,Platoon (1986),Natural Born Killers (1994),Real Genius (1985),Basic Instinct (1992)
